#{"t_start": 1606266109.279531, "env_id": null}
r,l,t
-38.96799,41,435.33575
-2341.560566,450,435.889938
-276.603144,459,436.43973
-415.16527,118,436.581509
-3241.743848,611,437.319508
-321.417532,205,437.568601
-2146.049094,633,438.36714
-4950.80423,550,439.038198
-480.045247,208,439.280233
-1618.586722,218,439.555972
70.917208,74,439.642327
-2048.707509,408,440.135777
-1083.65953,505,440.740426
-1610.127617,396,441.213409
-1490.295592,455,441.763699
-1971.183489,258,442.071389
-29.519227,35,442.115549
-545.049553,445,442.651536
-3065.220211,1191,444.104957
-1267.802293,545,444.782769
-3361.800625,592,445.529175
-38.923099,144,445.709055
-660.91522,346,446.1228
100.0,1,446.124599
-1340.840231,492,446.739157
-789.075308,142,446.914641
57.667488,168,447.121721
-520.236003,340,447.533226
-1653.731034,588,448.232754
-1419.343411,689,449.03702
-424.215603,108,449.179606
-197.399053,45,449.235838
-2953.815669,470,449.792038
-964.895787,426,450.326907
-3400.604774,861,451.355743
-6019.06601,551,452.013731
-291.049441,116,452.153021
-239.583893,278,452.486658
-774.437757,134,452.647291
-4.473394,401,453.135328
93.123813,77,453.230292
-2158.927571,363,453.670354
-203.444275,210,453.941953
-3045.075922,608,454.670042
-4676.894534,572,455.36919
-291.145725,106,455.498643
-4959.277119,557,456.165335
-5112.624544,856,457.206845
-990.719641,500,457.820002
48.248177,204,458.068661
-489.560666,171,458.274535
-892.720923,382,458.733281
-1095.572497,374,459.196072
-1323.631402,486,459.780659
-50.842074,247,460.091882
-295.421557,327,460.491304
-3087.253167,455,461.045355
-171.210462,166,461.254955
-13.436395,478,461.822983
-342.487657,418,462.333014
-41.447448,53,462.401776
-188.941192,170,462.622404
-1941.670885,189,462.85294
65.154769,115,462.994043
-292.541921,111,463.127658
-182.338909,93,463.241809
-364.413641,349,463.658882
100.0,1,463.663762
-1094.677802,224,463.927232
-288.605149,117,464.072569
-4863.215722,520,464.699011
-5583.541659,587,465.404652
-1045.957333,449,465.947037
-191.951788,78,466.044536
-34.335637,47,466.112379
-100.978264,412,466.607677
-139.849951,245,466.912985
-18.666128,132,467.070807
-21.801458,94,467.187298
-3621.153722,1777,469.354649
-1854.899694,301,469.728431
-3498.622425,508,470.341023
-8314.873297,541,471.001763
-3477.332428,734,471.890123
44.175454,455,472.459108
-454.605453,113,472.598757
69.659262,192,472.830028
-634.869875,191,473.059572
-1222.444192,403,473.562419
-1327.92357,1066,474.91162
-3859.591044,556,475.586283
-53.670367,102,475.711004
-163.277991,184,475.943059
-247.436471,54,476.012442
-175.39906,72,476.099805
-1135.187713,352,476.532911
-6079.20027,513,477.170613
77.337311,139,477.33518
-1626.160836,402,477.826333
-335.387423,157,478.021718
-137.177076,144,478.195279
-5505.909836,636,478.973739
-2038.662865,535,479.619873
18.521249,129,479.776232
-793.541103,474,480.342467
-2.761114,114,480.480799
-198.481637,86,480.585931
-4608.413796,700,481.438823
-460.93948,115,481.575805
-388.219471,284,481.911511
-1347.701621,454,482.46703
-335.083096,118,482.610383
-129.677479,104,482.738024
-42.950653,98,482.856038
37.095224,32,482.897162
-798.087888,144,483.07086
-349.578575,191,483.320863
-982.550672,470,483.89512
-54.704092,280,484.237816
-6416.309417,566,484.951506
-1455.812037,299,485.31232
-198.649087,236,485.598515
-167.756651,69,485.691554
-2892.039992,457,486.252565
-15.500862,333,486.661462
-1664.067586,188,486.885005
-3529.33454,593,487.616733
-190.223038,122,487.763967
-2518.227414,549,488.438346
-2488.300197,564,489.1402
-226.556555,200,489.384615
-2578.630631,675,490.189583
-1825.211541,386,490.663892
-313.616509,229,490.940647
-692.153787,369,491.381509
-2475.480812,475,491.958988
36.005238,219,492.223562
-338.555461,288,492.575282
-117.545931,181,492.789674
-880.466366,374,493.252973
-471.034593,108,493.38913
-3231.759063,682,494.219419
-4636.889838,541,494.867825
-2376.211341,529,495.529242
-348.927106,268,495.852646
-791.581868,536,496.496672
-1266.991757,546,497.174914
82.849427,65,497.256577
-1725.004327,369,497.699796
-1406.358245,437,498.239163
-55.582708,134,498.402395
-240.860458,52,498.464732
-1643.082433,394,498.951267
-291.104121,201,499.204297
-880.82746,345,499.613097
-1715.226254,368,500.042303
-1468.124036,397,500.546707
-1921.738108,333,500.946143
-2170.514679,754,501.86464
-1898.492476,390,502.345862
-2050.420336,410,502.855118
-267.808071,376,503.30857
-212.435194,49,503.371117
-523.584375,226,503.643015
-36.429187,37,503.688474
-1850.420959,553,504.369443
-3082.28149,516,504.993727
-1230.824392,145,505.170863
-1264.869937,514,505.797297
-333.465797,159,505.987846
-378.324708,301,506.354754
-800.18591,240,506.64239
-78.463591,134,506.80433
-35.52083,122,506.945669
-3946.043652,630,507.708338
66.410905,98,507.830891
-190.287079,252,508.131187
-1950.654355,558,508.797884
-742.784238,302,509.174992
-2497.376496,557,509.85468
-1630.689519,200,510.108398
-475.748465,133,510.276435
-2993.975277,598,510.917117
-1176.480207,325,511.305463
-1750.593503,432,511.801603
-432.338289,348,512.217247
-35.343191,44,512.273592
-35.11097,90,512.3937
-72.958092,135,512.555902
43.820899,28,512.589674
-1331.055015,343,513.002427
41.548593,25,513.036667
78.953472,193,513.266237
-799.195368,277,513.612855
-2088.332363,640,514.381582
-1093.200515,153,514.560659
-3507.965518,546,515.115988
100.0,1,515.118508
-3867.042865,496,515.634313
-5185.56647,530,516.220954
-1875.558652,530,516.762594
-1317.98089,463,517.23384
-1848.145073,412,517.674618
-1904.888811,362,518.073257
-479.587514,607,518.781178
-1477.140634,563,519.449539
-37.819363,101,519.570537
-1967.124117,468,520.124162
-1595.048092,631,520.908518
-2437.373259,473,521.482356
-945.694106,437,522.016938
-1539.926457,201,522.257042
-6602.76084,573,522.94565
-155.496327,39,522.995389
-170.180123,177,523.208946
-95.76388,217,523.469704
-882.860762,162,523.666771
-1802.470941,321,524.065133
-3232.927902,532,524.716169
-576.961802,109,524.849247
69.133097,151,525.029588
-81.671991,363,525.469119
-7601.576755,541,526.113721
39.353582,26,526.147386
-623.588696,215,526.414036
-1037.130108,384,526.871652
-1361.204657,422,527.38359
-795.667669,345,527.81418
72.025722,77,527.90864
-4895.17262,539,528.555927
-33.028888,39,528.611531
22.503245,90,528.718154
-694.743666,308,529.088785
-31.803382,84,529.190993
69.42414,71,529.279926
-507.083586,115,529.418749
-5614.10034,548,530.085481
-1150.975797,232,530.365356
-913.566121,378,530.825185
43.382332,26,530.858734
-605.068867,308,531.243324
-2708.910765,396,531.727238
-363.379415,96,531.845366
-170.586689,76,531.943804
-1098.651097,246,532.248126
-1709.9157,218,532.529033
-5613.257634,627,533.282474
-177.181951,276,533.621601
41.334839,27,533.654858
-2360.692914,548,534.328029
-35.665398,52,534.393057
-4557.826252,567,535.064123
-7501.996414,870,536.111986
