#{"t_start": 1606268491.899233, "env_id": null}
r,l,t
-717.137172,297,394.902719
-87.579679,140,395.042759
-647.96399,313,395.335585
-14426.488768,683,396.017814
-315.602447,206,396.219789
-292.253631,363,396.556086
-686.529607,289,396.81649
69.489845,185,396.98216
-3405.277604,355,397.301032
-59.513978,81,397.384825
-793.060951,247,397.618253
-676.228013,371,397.975602
-3237.532832,358,398.304857
-576.769937,200,398.474568
-297.024804,279,398.742299
-2910.626551,195,398.939703
84.088421,40,398.995411
100.0,1,398.997028
-3978.14292,491,399.459421
-2075.157199,518,399.946935
-9030.831937,719,400.598497
-2982.022313,401,400.995178
-874.126003,372,401.353349
-1569.538481,330,401.668199
-112.844529,67,401.72996
-2973.656237,457,402.168963
-3426.777709,406,402.558086
-2442.424371,368,402.937627
-2054.59008,377,403.342333
-1478.84201,389,403.72264
-8253.950389,521,404.212261
-717.458505,113,404.322832
-335.744257,440,404.727815
-2626.41791,242,404.981653
-4020.831711,391,405.353015
77.047275,251,405.586401
-184.865372,109,405.68566
-3814.102848,535,406.218415
-1987.39459,336,406.514487
-694.19308,336,406.810603
-1222.933762,405,407.177468
-2348.871064,340,407.501281
-888.36119,95,407.616611
-1979.900005,319,407.93149
-926.766004,113,408.050746
-151.194853,364,408.375709
62.986993,298,408.683825
-6439.786556,581,409.23826
-530.086488,328,409.555498
-2317.124362,345,409.902993
-3154.238845,354,410.256404
-9463.719961,705,410.946926
-527.27204,170,411.10885
-917.356695,362,411.471424
-806.10068,368,411.828197
-113.006333,85,411.907811
-1474.749545,414,412.3011
-18650.380387,701,412.969715
-786.460198,156,413.177392
-1874.99984,173,413.333704
-911.916306,112,413.442532
-3956.323956,200,413.63708
-506.893225,213,413.841635
71.043233,92,413.917831
-110.714758,104,414.016508
-1489.259035,291,414.293267
-330.819409,205,414.502061
81.077673,37,414.540215
-1252.539103,193,414.723531
-327.249373,338,415.020251
-62.314687,104,415.123866
-28.314598,259,415.390531
-882.892782,130,415.51718
-389.595863,77,415.599277
-604.80511,195,415.796797
-1705.727048,325,416.114328
-38.071215,162,416.277782
-1617.627698,264,416.526976
-301.925659,280,416.777265
-728.036417,478,417.221302
-3855.922344,485,417.669757
-516.645577,293,417.929939
-2158.700216,380,418.277029
73.493137,50,418.332439
-1024.182538,256,418.584972
-3109.422508,451,419.01411
-3482.060777,416,419.418343
-500.937851,233,419.627012
-1414.275252,323,419.904127
-124.390992,273,420.181956
-674.749753,383,420.54155
-512.713689,299,420.820422
-1512.044052,398,421.206809
-2635.749148,407,421.608999
89.540303,118,421.717107
-989.018644,108,421.816172
-1241.764491,296,422.098767
-4498.603681,476,422.576043
-4300.246376,477,423.053171
-975.27621,371,423.401655
-563.704203,225,423.625022
-944.328655,294,423.902124
-2767.242842,366,424.261308
-2407.801548,262,424.504486
-474.633674,126,424.628134
-1367.085916,165,424.777693
-1282.594435,358,425.14502
-823.126327,304,425.415392
-520.884348,337,425.736365
-1666.377487,368,426.088279
-5.570542,363,426.416495
-417.489546,77,426.490602
-755.408227,337,426.790874
-1050.688059,315,427.119963
-2369.799263,355,427.451103
-469.413895,89,427.531166
-600.550754,247,427.76443
-2345.478779,511,428.246428
-464.759418,201,428.429078
-530.456915,367,428.792119
-130.401861,511,429.300805
-714.985444,302,429.57733
-7451.835467,547,430.103588
-3373.141766,439,430.503452
-502.34832,236,430.730327
-4269.719861,482,431.154385
-662.259524,283,431.411052
-613.512438,359,431.782805
-1237.878265,133,431.914824
-738.342447,326,432.207078
-1053.60553,107,432.312969
-987.105252,280,432.594438
-141.204373,141,432.732801
-1155.325569,279,432.985823
-2295.359042,172,433.139979
27.731985,25,433.165534
82.858266,57,433.224694
