#{"t_start": 1607337599.7377625, "env_id": null}
r,l,t
913.403089,185,7561.515482
-87.435809,403,7561.97003
643.193352,307,7562.294243
-7487.758351,539,7562.825287
838.036145,266,7563.085505
572.948013,428,7563.53864
-7903.496242,1001,7564.478137
-9225.111145,1001,7565.454885
865.968295,118,7565.573606
355.791366,465,7566.000947
-51.422479,441,7566.4712
987.905533,171,7566.626467
-422.369679,492,7567.110709
8.841299,319,7567.432368
-7564.979728,641,7568.061538
-12601.00864,890,7568.929428
741.354864,327,7569.217994
890.018807,279,7569.473756
597.806942,254,7569.726165
978.474758,71,7569.806858
789.7321,249,7570.036878
-1439.400468,524,7570.525328
-1742.131939,683,7571.178401
-979.606392,620,7571.798874
-716.261473,688,7572.445835
-451.97641,644,7573.076545
840.620684,196,7573.287759
-10558.942451,524,7573.79099
997.934327,145,7573.929687
852.920131,119,7574.050313
866.26791,97,7574.153429
591.924778,271,7574.413754
760.316263,274,7574.684674
-564.790329,565,7575.221965
988.616528,87,7575.286216
348.267323,270,7575.555609
-460.00632,594,7576.142344
-6956.49471,568,7576.649679
861.559558,139,7576.782562
-48.571106,388,7577.17613
846.651547,289,7577.446879
690.917586,146,7577.584939
802.379807,201,7577.811293
-760.209051,630,7578.429172
245.055352,317,7578.757047
-1151.41007,326,7579.050598
-9.273478,459,7579.512235
-1040.231007,658,7580.152051
-159.998422,479,7580.612015
354.672993,241,7580.841901
-7571.5484,588,7581.416138
892.836149,86,7581.514343
173.476482,503,7581.99364
695.492928,517,7582.516522
831.189286,247,7582.765085
-543.715761,404,7583.153665
856.009534,169,7583.324562
852.634159,208,7583.536144
-883.371757,650,7584.233994
-3681.531831,560,7584.77115
867.809718,112,7584.884048
460.879044,442,7585.331569
-2532.278461,444,7585.722487
586.749248,463,7586.21665
816.587318,278,7586.479821
-487.923544,573,7587.03955
242.767137,605,7587.617141
-1242.557938,664,7588.236646
-232.507613,448,7588.74698
987.037789,400,7589.105887
75.659604,301,7589.394825
-1555.126962,566,7589.942412
-405.538533,473,7590.421086
-740.863625,566,7590.92478
354.352496,168,7591.088935
-295.857085,603,7591.650757
901.680261,341,7591.984046
311.054239,351,7592.328255
-3033.277983,1001,7593.334391
971.316246,330,7593.656221
308.429249,233,7593.885786
-3958.596172,555,7594.386913
-757.918709,518,7594.915052
180.493254,347,7595.270406
-1094.796404,492,7595.719515
877.187946,104,7595.790316
-3813.090275,932,7596.717949
-7636.121773,548,7597.248101
415.254186,570,7597.790818
619.991797,212,7598.028584
-4362.112232,537,7598.551039
922.14959,97,7598.731039
14.697279,618,7599.37897
982.574471,313,7599.648792
679.746266,154,7599.791609
-267.339335,629,7600.377211
-200.103059,628,7601.00549
-2249.233711,663,7601.619692
-8639.606678,546,7602.178403
754.135411,167,7602.325125
984.274217,209,7602.540358
-5.409906,278,7602.812349
-1375.319863,505,7603.298324
-545.49125,459,7603.731171
863.266683,87,7603.835463
892.535654,78,7603.930087
920.146903,231,7604.123243
929.072419,115,7604.23719
863.701832,141,7604.357949
-1062.769171,554,7605.000812
-553.662079,499,7605.528435
-1458.692212,434,7605.934546
630.907588,352,7606.284302
-157.093829,455,7606.685265
-485.716303,637,7607.289418
647.094063,573,7607.876469
