#{"t_start": 1606305409.507581, "env_id": null}
r,l,t
-98.471138,162,314.68657
-9869.432669,1587,316.194322
-8884.940494,1043,317.140272
78.754519,213,317.355295
-13536.143953,1073,318.358044
-65.847899,161,318.511094
41.317825,26,318.559453
-7443.973131,965,319.439375
-20465.460445,1735,321.139008
-14018.663293,909,321.988166
-787.509534,535,322.487062
-231.491241,287,322.748549
-4148.257339,778,323.495187
-1392.502792,390,323.876674
-1535.1916,795,324.640737
-51.4911,257,324.902967
-4952.886318,546,325.432888
65.38096,282,325.70595
86.608134,48,325.745251
-1839.448512,413,326.194058
-10425.919003,1642,327.718214
56.281351,287,328.013204
-1054.865293,423,328.413094
-3666.117247,549,328.932316
-816.813978,413,329.352361
-1208.549892,365,329.70102
-898.06143,194,329.889099
-2867.662919,552,330.413739
-5072.207996,691,331.122255
84.570549,55,331.165659
76.852592,84,331.256935
70.941151,149,331.396676
-1464.735881,184,331.561555
-49.077216,125,331.699763
-273.244713,106,331.81507
-1016.163362,294,332.091665
-4708.898279,550,332.627862
-4251.247008,865,333.404428
-2079.604237,734,334.095502
86.752366,68,334.175057
-13767.421607,972,335.085467
-4747.008167,537,335.622054
-314.048487,186,335.794042
-2380.781466,582,336.34433
-73.442461,148,336.494705
-1311.093847,390,336.868735
-458.849437,86,336.933213
-6128.794044,543,337.489351
-2587.073572,536,337.983201
-1181.427708,300,338.270488
-921.240492,414,338.672649
73.211052,96,338.776948
-1401.322136,505,339.242105
-4802.529566,547,339.765966
-25.826824,129,339.891458
-3972.713365,750,340.621619
48.456232,19,340.639468
-5966.104026,542,341.173347
-4621.964747,559,341.725194
83.694029,51,341.767841
-1854.821722,553,342.316057
-51.542,45,342.35201
-2526.950816,589,342.886295
-1324.434615,224,343.082439
-277.728812,576,343.664974
-2101.284994,450,344.089551
-2556.297298,325,344.450702
81.673819,64,344.498885
-350.672681,102,344.601342
-1819.00845,456,345.03638
-1605.275306,267,345.312947
-5871.843983,850,346.160692
-1800.845994,662,346.77452
100.0,1,346.779741
-504.080875,224,346.967309
-831.616458,280,347.291265
-28.582452,171,347.427479
-2054.800886,312,347.712222
-177.903987,150,347.886569
-2873.00342,450,348.298376
-718.866746,243,348.559907
-84.334914,163,348.70975
-93.744247,100,348.806458
-1704.520225,371,349.165077
-1550.442528,403,349.542194
-224.238163,107,349.646454
-186.724569,121,349.7641
80.438523,57,349.809822
-248.650836,199,350.022533
-1117.556122,359,350.375319
-2054.719223,488,350.873132
-255.805909,46,350.909788
-463.566355,274,351.194617
80.90984,183,351.367769
-1063.740036,369,351.713773
-45.714858,216,351.93594
100.0,1,351.938082
-2006.382435,430,352.350331
-336.228428,337,352.68883
100.0,1,352.691365
-386.858612,294,352.983759
-213.472102,42,353.047909
-253.845898,125,353.168854
-105.968168,261,353.399901
-1698.82984,309,353.683078
-3302.551688,440,354.12755
-2322.958326,263,354.384551
-450.563945,213,354.574013
-296.852081,272,354.836818
-4995.421476,481,355.298497
-4060.309902,318,355.610755
-289.608874,135,355.742241
-344.762006,136,355.885398
-151.869229,297,356.149872
-552.087601,168,356.289913
-1574.821249,397,356.670191
-371.40011,342,357.010697
-3411.219037,473,357.468897
-42.302001,80,357.528435
-158.507555,177,357.715548
-941.21408,153,357.867584
-249.635352,297,358.156993
-18.120238,111,358.271593
17.488347,56,358.347345
-2994.657751,256,358.582929
19.784894,39,358.615775
44.593167,20,358.635118
-256.909126,220,358.867704
-130.154836,223,359.095602
-177.041977,81,359.160372
-1352.204866,152,359.303599
-778.299404,233,359.536543
-593.377735,447,359.999754
-1264.343044,219,360.195153
-403.84058,121,360.314962
-2605.297314,436,360.743923
-724.354164,368,361.105021
-56.185681,97,361.179584
-404.584263,388,361.55864
2.566428,202,361.775119
-712.638458,106,361.883714
-2936.236375,395,362.263042
48.575199,19,362.279525
-1800.244752,351,362.612766
-1.172254,282,362.88953
-2017.434478,485,363.352715
-81.099785,100,363.459112
73.348608,212,363.668781
89.733025,107,363.778115
100.0,1,363.780308
-384.206334,298,364.047151
-694.937375,408,364.449464
-1015.083774,561,364.965827
-2076.359863,427,365.354842
-829.402421,149,365.530208
-1844.425344,515,366.033357
-1728.540179,316,366.324805
-678.859786,383,366.702622
-2337.013428,390,367.065654
-1233.607681,530,367.574935
-413.747098,107,367.686692
-1041.748837,281,367.941849
-3845.468747,480,368.413301
-44.909927,119,368.52871
-58.47865,198,368.705709
6.027385,118,368.8171
50.468827,19,368.859459
-3113.878106,486,369.276687
-165.830775,74,369.365314
-656.408334,356,369.696793
-1902.396174,347,370.015217
-228.054327,42,370.077953
-309.871875,143,370.22058
-116.032606,131,370.373765
-1109.15536,365,370.728932
-807.132098,244,370.962631
-36.447583,121,371.079139
-623.797546,178,371.232365
-1702.34486,224,371.483647
-3862.008419,360,371.81658
82.480123,84,371.898484
-447.030004,142,372.017658
77.818056,64,372.09332
-158.517012,159,372.236874
-1106.696115,330,372.573339
-321.869268,172,372.728285
-167.076874,106,372.837659
-313.778886,78,372.896395
-1078.900113,385,373.268111
-1217.527537,393,373.640435
-1207.169043,162,373.81764
-2144.318521,311,374.106141
-48.972132,529,374.633995
-80.443296,127,374.759564
80.476046,79,374.845826
69.430492,244,375.076753
-1426.853245,364,375.423986
-390.846603,206,375.608451
-435.633661,122,375.733826
-1205.95311,428,376.154513
-2095.392548,633,376.74712
-15.606621,309,377.065285
-185.442748,64,377.12781
11.814291,40,377.18631
-2554.894528,546,377.702761
-497.549245,334,378.053853
-315.966437,339,378.371348
-892.571197,304,378.692503
-1221.224666,314,378.98301
-864.278814,285,379.260812
100.0,1,379.262732
-148.783634,220,379.485288
-1019.754123,338,379.826442
-168.161434,118,379.94045
-151.457677,75,379.996912
60.910516,208,380.237876
-673.617604,496,380.722765
-557.191617,153,380.858018
-1303.602816,392,381.268372
-741.964232,297,381.555348
-1587.040925,283,381.827402
